Timestamp,HeartRate
780.478954773333,64.0
2759.93225477333,64.0
2759.93225477333,63.0
3749.05785477333,63.0
5728.66095477333,63.0
6223.56955477333,63.0
6223.56955477333,63.0
7214.68015477333,64.0
8203.83905477333,64.0
9194.23095477333,64.0
10184.0209547733,64.0
11669.1107547733,65.0
12164.0718547733,65.0
13154.4971547733,65.0
13154.4971547733,65.0
14144.5430547733,66.0
15134.6877547733,67.0
16124.1660547733,68.0
17114.1469547733,68.0
18104.1367547733,69.0
18104.1367547733,69.0
19093.6443547733,69.0
20083.7555547733,70.0
21074.7149547733,70.0
22064.4203547733,70.0
22064.4203547733,70.0
23549.6797547733,71.0
24043.9211547733,71.0
25034.1138547733,72.0
27014.3510547733,72.0
27015.2401547733,73.0
27015.2401547733,73.0
28004.4377547733,72.0
28994.4865547733,72.0
29984.3854547733,72.0
30974.1789547733,71.0
31964.8116547733,72.0
32954.4507547733,72.0
33944.3518547733,72.0
34934.1348547733,72.0
36419.1690547733,71.0
36914.7178547733,70.0
38399.1584547733,67.0
38399.1584547733,67.0
38894.3479547733,67.0
39883.9007547733,67.0
40874.5054547733,67.0
41863.9528547733,67.0
42854.1311547733,67.0
43843.9102547733,67.0
44834.2108547733,67.0
45824.4928547733,67.0
46814.5649547733,66.0
47803.9915547733,66.0
48794.6832547733,65.0
49784.0326547733,65.0
50774.0935547733,64.0
51763.7789547733,65.0
52754.5333547733,65.0
52754.5333547733,65.0
54239.4479547733,65.0
55229.7213547733,65.0
56218.7713547733,64.0
57209.1877547733,64.0
58199.0234547733,64.0
59190.0783547733,64.0
60674.8082547733,64.0
61169.1639547733,64.0
62159.6657547733,64.0
63148.7829547733,64.0
64138.7671547733,64.0
65129.3855547733,64.0
65129.3855547733,64.0
66121.3001547733,65.0
67108.8011547733,65.0
68098.8311547733,66.0
69089.3283547733,67.0
70573.9991547733,68.0
70573.9991547733,68.0
71069.1362547733,68.0
72060.1579547733,69.0
73049.2921547733,68.0
74039.3846547733,68.0
75028.8174547734,68.0
76019.3527547733,68.0
77998.8101547733,67.0
78493.9211547733,67.0
78990.2614547733,67.0
79978.5088547733,67.0
80969.2449547733,67.0
80969.2449547733,67.0
81959.5639547733,66.0
82949.4322547733,66.0
83938.5047547733,66.0
84929.3685547733,66.0
85918.2607547733,66.0
86908.9299547733,66.0
87898.6569547733,66.0
88889.9257547733,66.0
89878.6669547733,65.0
90869.6740547733,65.0
92354.2684547733,65.0
92848.8753547734,65.0
93839.3531547733,65.0
93839.3531547733,65.0
94829.3547547733,65.0
95818.6246547733,65.0
96808.6857547733,65.0
97798.5066547733,66.0
98789.2649547733,67.0
99779.3462547734,68.0
100768.502954773,68.0
101759.217054773,67.0
101759.217054773,67.0
102750.281154773,67.0
104233.862554773,66.0
105224.718554773,68.0
105224.718554773,68.0
106214.212354773,69.0
107204.598754773,70.0
108194.310354773,70.0
109185.563054773,70.0
110174.028254773,69.0
111164.184654773,69.0
112154.107354773,68.0
113143.699154773,68.0
113143.699154773,68.0
114134.322554773,68.0
115123.834254773,68.0
116113.456454773,70.0
116113.456454773,70.0
117104.343354773,72.0
118093.473854773,72.0
119083.922554773,74.0
119083.922554773,74.0
120570.099554773,75.0
121063.763654773,76.0
121063.763654773,76.0
122053.769154773,76.0
123044.619354773,78.0
124033.878354773,80.0
124033.878354773,80.0
125024.397454773,80.0
126014.373554773,79.0
127003.417854773,79.0
127994.672854773,79.0
